vendor_id,raw_field_name,canonical_field_name,target_type,mapping_config_version,mapping_priority
ASTECH,invoice_date,line_date,date,v1,1
ASTECH,invoice_no,original_invoice_number,string,v1,1
ASTECH,work_order_no,work_order_number,string,v1,1
ASTECH,ro_no,ro_number,string,v1,1
ASTECH,outstanding_amount,amount_remaining,decimal,v1,1
ASTECH,outstanding_amount,charge_amount,decimal,v1,1
ASTECH,due_date,due_date,date,v1,1
FRED_BEANS_PARTS,date,line_date,date,v1,1
FRED_BEANS_PARTS,transaction_code,transaction_code,string,v1,1
FRED_BEANS_PARTS,invoice_number,original_invoice_number,string,v1,1
FRED_BEANS_PARTS,charges,charge_amount,decimal,v1,1
FRED_BEANS_PARTS,credits,payment_amount,decimal,v1,1
FRED_BEANS_PARTS,amount_due,amount_remaining,decimal,v1,1
FRED_BEANS_PARTS,remit_invoice_no,invoice_number_ref,string,v1,1
FRED_BEANS_PARTS,remit_amount_due,,,v1,1
KEYSTONE_AUTOMOTIVE_INDUSTRIES,reference_date,line_date,date,v1,1
KEYSTONE_AUTOMOTIVE_INDUSTRIES,reference_number,original_invoice_number,string,v1,1
KEYSTONE_AUTOMOTIVE_INDUSTRIES,purchase_order_number,po_number,string,v1,1
KEYSTONE_AUTOMOTIVE_INDUSTRIES,credit_applied,,,v1,1
KEYSTONE_AUTOMOTIVE_INDUSTRIES,period_activity,charge_amount,decimal,v1,1
KEYSTONE_AUTOMOTIVE_INDUSTRIES,balance_forward,charge_amount,decimal,v1,2
KEYSTONE_AUTOMOTIVE_INDUSTRIES,balance_due,amount_remaining,decimal,v1,1
QUIRK_AUTO_GROUP,date,line_date,date,v1,1
QUIRK_AUTO_GROUP,source,transaction_code,string,v1,1
QUIRK_AUTO_GROUP,invoice,original_invoice_number,string,v1,1
QUIRK_AUTO_GROUP,reference,invoice_number_ref,string,v1,1
QUIRK_AUTO_GROUP,description,description_raw,string,v1,1
QUIRK_AUTO_GROUP,amount,charge_amount,decimal,v1,1
QUIRK_AUTO_GROUP,age_in_days,age_in_days,integer,v1,1
QUIRK_AUTO_GROUP,remit_date,,,v1,1
QUIRK_AUTO_GROUP,remit_invoice,,,v1,1
QUIRK_AUTO_GROUP,remit_balance,,,v1,1
EMPIRE_AUTO_PARTS,transaction_date,line_date,date,v1,1
EMPIRE_AUTO_PARTS,description,description_raw,string,v1,1
EMPIRE_AUTO_PARTS,doc_no,original_invoice_number,string,v1,1
EMPIRE_AUTO_PARTS,your_po_no,po_number,string,v1,1
EMPIRE_AUTO_PARTS,orig_inv_no,invoice_number_ref,string,v1,1
EMPIRE_AUTO_PARTS,amount,charge_amount,decimal,v1,1
EMPIRE_AUTO_PARTS,due_date,due_date,date,v1,1
EMPIRE_AUTO_PARTS,balance,amount_remaining,decimal,v1,1
BOWSER,DATE,line_date,date,v1,1
BOWSER,UNLABELED_TRANSACTION_CODE,transaction_code,string,v1,1
BOWSER,UNLABELED_TRANSACTION_CODE_2,transaction_code_2,string,v1,1
