invoice_date,invoice_no,work_order_no,ro_no,outstanding_amount,due_date
06/01/2026,SIN12331257,24482435,10200268,48.75,07/01/2026
06/01/2026,SIN12331786,24483626,10200256,48.75,07/01/2026
06/01/2026,SIN12332672,24487778,10200271,48.75,07/01/2026
06/01/2026,SIN12333347,24488456,10200262,48.75,07/01/2026
06/01/2026,SIN12333484,24490248,10200273,48.75,07/01/2026
06/01/2026,SIN12333838,24490814,10200274,48.75,07/01/2026
06/01/2026,SIN12334332,24492245,10200272,48.75,07/01/2026
06/02/2026,SIN12335809,24498267,10200276,48.75,07/02/2026
06/02/2026,SIN12340142,24511671,10200279,48.75,07/02/2026
06/02/2026,SIN12340596,24512475,10200275,101.21,07/02/2026
06/03/2026,SIN12342193,24518414,10200281,48.75,07/03/2026
06/03/2026,SIN12346428,24531421,10200282,48.75,07/03/2026
06/04/2026,SIN12349120,24538644,10200283,48.75,07/04/2026
06/04/2026,SIN12353121,24550911,10200243,48.75,07/04/2026
06/05/2026,SIN12357212,24563435,10200264,101.21,07/05/2026
06/05/2026,SIN12357977,24566138,10200138,101.21,07/05/2026
06/08/2026,SIN12363513,24582242,10200267,101.21,07/08/2026
06/09/2026,SIN12369355,24601032,10200258,101.21,07/09/2026
06/09/2026,SIN12371395,24607866,10200290,48.75,07/09/2026
06/09/2026,SIN12374333,24192714,10200220.,101.21,07/09/2026
06/10/2026,SIN12374955,24616188,10200292,48.75,07/10/2026
06/11/2026,SIN12381485,24635225,10200273,101.21,07/11/2026
06/15/2026,SIN12395049,24672860,10200271,101.21,07/15/2026
06/15/2026,SIN12394288,24672105,10200301,48.75,07/15/2026
06/15/2026,SIN12397041,24679337,10200269,101.21,07/15/2026
06/16/2026,SIN12400508,24691860,10200303,48.75,07/16/2026
06/16/2026,SIN12400767,24692682,10200305,48.75,07/16/2026
06/16/2026,SIN12401049,24693502,10200295,48.75,07/16/2026
06/16/2026,SIN12402214,24697197,10200253,101.21,07/16/2026
06/16/2026,SIN12405319,24706778,10200276,101.21,07/16/2026
06/17/2026,SIN12407244,24712883,10200289,48.75,07/17/2026
06/17/2026,SIN12408211,24715511,10200306,48.75,07/17/2026
06/17/2026,SIN12411052,24724523,10200308,48.75,07/17/2026
06/17/2026,SIN12411802,24726662,10200259,101.21,07/17/2026
06/19/2026,SIN12419514,24749278,10200226,101.21,07/19/2026
06/19/2026,SIN12421974,24756072,10200311,48.75,07/19/2026
06/22/2026,SIN12425507,24766383,10200314,48.75,07/22/2026
06/22/2026,SIN12427484,24773125,10200315,48.75,07/22/2026
06/22/2026,SIN12427120,24771047,10200316,48.75,07/22/2026
06/22/2026,SIN12428291,24775363,10200313,48.75,07/22/2026
06/23/2026,SIN12434220,24791833,10200289,248.09,07/23/2026
06/23/2026,SIN12436365,24799556,10200323,48.75,07/23/2026
06/24/2026,SIN12439231,24809402,10200326,48.75,07/24/2026
06/24/2026,SIN12443929,24819612,10200290,194.96,07/24/2026
06/24/2026,SIN12443891,24823069,10200328,48.75,07/24/2026
06/25/2026,SIN12445347,24827347,10200329,48.75,07/25/2026
06/25/2026,SIN12446019,24828352,10200330,48.75,07/25/2026
06/25/2026,SIN12446277,24828935,10200305,194.96,07/25/2026
06/25/2026,SIN12448227,24835894,10200315,101.21,07/25/2026
06/26/2026,SIN12451806,24845838,10200295,97.50,07/26/2026
06/26/2026,SIN12451388,24844230,10200332,48.75,07/26/2026
06/26/2026,SIN12453479,24846604,10200297,101.21,07/26/2026
06/26/2026,SIN12454585,24852952,10200313,194.96,07/26/2026
06/29/2026,SIN12459841,24867903,10200336,48.75,07/29/2026
06/29/2026,SIN12462433,24875424,10200327,48.75,07/29/2026
06/29/2026,SIN12462879,24877385,10200292,101.21,07/29/2026
06/30/2026,SIN12469513,24892342,10200338,48.75,07/30/2026
06/30/2026,SIN12472040,24899826,10200339,48.75,07/30/2026
07/01/2026,SIN12477530,24912075,10200344,48.75,07/31/2026
07/02/2026,SIN12481000,24921415,10200342,48.75,08/01/2026
07/02/2026,SIN12482244,24924573,10200327,101.21,08/01/2026
07/02/2026,SIN12485209,24933411,10200345,48.75,08/01/2026
07/06/2026,SIN12490080,24945909,10200348,48.75,08/05/2026
07/06/2026,SIN12490422,24946650,10200347,48.75,08/05/2026
07/07/2026,SIN12496353,24965932,10200350,48.75,08/06/2026
07/07/2026,SIN12496591,24966389,10200343,48.75,08/06/2026
07/08/2026,SIN12503530,24987336,10200316,194.96,08/07/2026
07/08/2026,SIN12504000,24989521,10200364,48.75,08/07/2026
07/09/2026,SIN12511897,25010935,10200323,194.96,08/08/2026
07/09/2026,SIN12513276,25017115,10200360,48.75,08/08/2026
07/10/2026,SIN12515018,25021945,10200314,101.21,08/09/2026
07/10/2026,SIN12517865,25030095,10200329,97.50,08/09/2026
07/10/2026,SIN12519052,25032907,10200308,97.50,08/09/2026
07/13/2026,SIN12523052,25043562,10200356,48.75,08/12/2026
07/13/2026,SIN12521945,25040463,10200359,48.75,08/12/2026
07/13/2026,SIN12522685,25042252,10200362,48.75,08/12/2026
07/13/2026,SIN12525013,25049086,10200366,48.75,08/12/2026
07/13/2026,SIN12525349,25051557,10200344,97.50,08/12/2026
07/13/2026,SIN12526108,25053562,10200328,101.21,08/12/2026
07/13/2026,SIN12526543,25054723,10200361,48.75,08/12/2026
07/14/2026,SIN12533401,25077228,10200338,101.21,08/13/2026
07/15/2026,SIN12539393,25094659,10200303,101.21,08/14/2026
07/16/2026,SIN12545633,25112904,10200378,48.75,08/15/2026
07/17/2026,SIN12548767,25122375,10200380,48.75,08/16/2026
07/17/2026,SIN12550411,25127057,10200336,101.21,08/16/2026
07/17/2026,SIN12550618,25127606,10200381,48.75,08/16/2026
07/17/2026,SIN12551436,25130019,10200347,97.50,08/16/2026
07/20/2026,SIN12556061,25142122,10200357,48.75,08/19/2026
07/22/2026,SIN12569487,25182150,10200350,194.96,08/21/2026
07/23/2026,SIN12573795,25196383,10200369,101.21,08/22/2026
07/23/2026,SIN12574242,25197981,10200366,101.21,08/22/2026
07/23/2026,SIN12575508,25200686,10200345,101.21,08/22/2026
07/23/2026,SIN12576681,25203469,10200348,194.96,08/22/2026
07/23/2026,SIN12577420,25206385,10200395,48.75,08/22/2026
07/27/2026,SIN12588179,25236470,10200396,48.75,08/26/2026
07/27/2026,SIN12587955,25233692,10200384,48.75,08/26/2026
07/27/2026,SIN12589476,25240179,10200398,48.75,08/26/2026
07/28/2026,SIN12595579,25253869,10200180,232.46,08/27/2026
07/28/2026,SIN12597056,25262206,10200399,48.75,08/27/2026
07/28/2026,SIN12597408,25263680,10200401,48.75,08/27/2026
07/28/2026,SIN12597928,25265474,10200343,101.21,08/27/2026
07/29/2026,SIN12602083,25276871,10200376,101.21,08/28/2026
07/30/2026,SIN12607592,25292226,10200383,48.75,08/29/2026
07/31/2026,SIN12612952,25307048,10200372,48.75,08/30/2026
07/31/2026,SIN12613294,25307973,10200373,101.21,08/30/2026
07/31/2026,SIN12613805,25309736,10200396,101.21,08/30/2026
