page,transaction_date,description,doc_no,your_po_no,orig_inv_no,amount,due_date,balance
1,06/01/26,2016 Corolla Sedan,40442673,2107381,,58.00,07/10/26,58.00
1,06/01/26,2016 Corolla Sedan,40442674,2107381,,51.00,07/10/26,51.00
1,06/01/26,2016 Tiguan,40443399,2107364,,70.00,07/10/26,70.00
1,06/01/26,2016 Highlander / Highlander,40444218,2107371,,78.00,07/10/26,78.00
1,06/02/26,Return,40455920,2107193,40004932,-97.00,,-97.00
1,06/03/26,2008 Camry (Non-Hybrid),40463283,2107372,,112.00,07/10/26,112.00
1,06/03/26,2014 C350 Sedan,40465413,2107382,,196.00,07/10/26,196.00
1,06/03/26,2019 Tacoma,40466339,2107306,,125.00,07/10/26,125.00
1,06/08/26,2020 Camry Hybrid,40494957,2107385,,175.00,07/10/26,175.00
1,06/08/26,2018 X5 (35d/35i/50i/40e,40500271,2107357,,175.00,07/10/26,175.00
1,06/09/26,2020 RAV4 / RAV4 Hybrid,40508241,2107406,,71.00,07/10/26,71.00
1,06/09/26,2023 Equinox,40509858,2107398,,20.00,07/10/26,20.00
1,06/11/26,2018 Rogue / Rogue Hybrid,40540672,2107411,,159.00,07/10/26,159.00
1,06/11/26,2022 Rogue,40541704,2107437,,502.00,07/10/26,502.00
1,06/12/26,2019 Ridgeline,40549932,2107346,,34.00,07/10/26,34.00
1,06/15/26,2022 Tacoma,40564234,2107447,,332.00,07/10/26,332.00
1,06/16/26,2025 UX 300h,40568658,2107387,,95.00,07/10/26,95.00
1,06/16/26,2018 Tacoma,40569347,2107283,,274.00,07/10/26,274.00
1,06/16/26,2024 Corolla Sedan / Corolla,40569922,2107416,,44.00,07/10/26,44.00
1,06/16/26,2005 Grand Cherokee,40575980,2107451,,49.00,07/10/26,49.00
1,06/16/26,2005 Grand Cherokee,40575982,2107451,,59.00,07/10/26,59.00
1,06/16/26,2013 Frontier,40576107,2107435,,609.00,07/10/26,609.00
1,06/16/26,2013 Frontier,40576108,2107435,,255.00,07/10/26,255.00
1,06/17/26,2023 CX-5,40580219,2107450,,286.00,07/10/26,286.00
1,06/17/26,Return,40588573,2107342,40410155,-72.00,,-72.00
1,06/18/26,Return,40594630,2107351,40419498,-70.00,,-70.00
1,06/18/26,2022 Tacoma,40595454,2107447,,106.00,07/10/26,106.00
2,06/18/26,2023 CX-5,40599167,2107450,,98.00,07/10/26,98.00
2,06/18/26,2023 Tacoma,40601796,2107460,,67.00,07/10/26,67.00
2,06/22/26,Return,40613488,2107306,40466339,-125.00,,-125.00
2,06/22/26,Return,40613791,2107345,40430816,-32.00,,-32.00
2,06/22/26,Return,40613872,2107364,40443399,-70.00,,-70.00
2,06/22/26,2016 Forester,40622669,2107407,,79.00,07/10/26,79.00
2,06/23/26,Return,40626352,2107450,40580219,-98.00,,-98.00
2,06/23/26,Return,40633453,2107447,40564234,-71.00,,-71.00
2,06/24/26,2007 Camry (Non-Hybrid),40639963,2107409,,84.00,07/10/26,84.00
2,06/24/26,2015 LaCrosse / LaCrosse,40645513,2107383,,496.00,07/10/26,496.00
2,06/25/26,Return,40650421,2107451,40575982,-59.00,,-59.00
2,06/25/26,Return,40651201,2107411,40540672,-35.00,,-35.00
2,06/25/26,2007 Camry Hybrid,40655016,2107409,,160.00,07/10/26,160.00
2,06/29/26,2020 CR-V / CR-V Hybrid,40676721,2107458,,72.00,07/10/26,72.00
2,07/02/26,2022 Venza / Venza Hybrid,40705852,2107466,,231.00,08/10/26,231.00
2,07/02/26,Return,40706643,2107383,40645513,-91.00,,-91.00
2,07/07/26,2022 Golf GTI,40727952,2107519,,181.00,08/10/26,181.00
2,07/07/26,2019 CR-V,40728464,2107493,,381.00,08/10/26,381.00
2,07/07/26,Return,40735927,2107437,40541704,-45.00,,-45.00
2,07/08/26,2019 RAV4 / RAV4 Hybrid,40741465,2107491,,82.00,08/10/26,82.00
2,07/08/26,2019 RAV4 / RAV4 Hybrid,40741494,2107491,,24.00,08/10/26,24.00
2,07/08/26,2013 C-Max,40742181,2107467,,218.00,08/10/26,218.00
2,07/08/26,2022 Tacoma,40746588,2107534,,150.00,08/10/26,150.00
2,07/08/26,2022 Tacoma,40746850,2107534,,197.00,08/10/26,197.00
2,07/08/26,2013 C-Max,40747304,2107467,,164.00,08/10/26,164.00
2,07/08/26,2011 Forester,40749975,2107531,,78.00,08/10/26,78.00
2,07/09/26,2015 Tucson,40758706,2107410,,27.00,08/10/26,27.00
3,07/09/26,2016 Forester,40759838,2107536,,80.00,08/10/26,80.00
3,07/10/26,2011 Forester,40763194,2107531,,78.00,08/10/26,78.00
3,07/13/26,2019 WRX,40774447,Cody,,111.00,08/10/26,111.00
3,07/13/26,2011 535i,40777631,2107483,,312.00,08/10/26,312.00
3,07/13/26,2024 RAV4 Prime,40781723,2107558,,131.00,08/10/26,131.00
3,07/14/26,2010 Corolla Sedan,40784915,2107497,,75.00,08/10/26,75.00
3,07/14/26,2022 Tacoma,40785293,2107447,,30.00,08/10/26,30.00
3,07/14/26,2019 Rogue / Rogue Hybrid,40787744,2107528,,152.00,08/10/26,152.00
3,07/14/26,2018 Mazda6,40791569,2107510,,18.00,08/10/26,18.00
3,07/15/26,Return,40795917,2107531,40749975,-78.00,,-78.00
3,07/15/26,2018 CR-V,40800051,2107555,,81.00,08/10/26,81.00
3,07/15/26,2011 Forester,40801706,2107531,,83.00,08/10/26,83.00
3,07/16/26,2024 RAV4 Prime,40809156,2107558,,59.00,08/10/26,59.00
3,07/16/26,2018 Mazda6,40810003,2107510,,85.00,08/10/26,85.00
3,07/16/26,2018 Mazda6,40810004,2107510,,99.00,08/10/26,99.00
3,07/16/26,2018 Mazda6,40810252,2107510,,95.00,08/10/26,95.00
3,07/16/26,2016 RAV4 / RAV4 Hybrid,40811360,2107570,,100.00,08/10/26,100.00
3,07/16/26,2016 RAV4 / RAV4 Hybrid,40811373,2107570,,18.00,08/10/26,18.00
3,07/16/26,2024 Crosstrek / Crosstrek,40811381,2107480,,32.00,08/10/26,32.00
3,07/20/26,2011 535i,40827080,2107483,,424.00,08/10/26,424.00
3,07/20/26,2011 Forester,40828097,2107531,,34.00,08/10/26,34.00
3,07/20/26,Return,40835232,2107483,40777631,-312.00,,-312.00
3,07/20/26,2014 Explorer,40836485,2107537,,416.00,08/10/26,416.00
3,07/22/26,2019 Rogue / Rogue Hybrid,40852688,2107528,,100.00,08/10/26,100.00
3,07/23/26,2015 TLX,40862615,2107532,,207.00,08/10/26,207.00
