page,posting_date,document_no,po_no,description,customer_no,due_date,amount
1,04/01/26,M1126040139,7103845,Return Order SR2603300277,21-VIVE6500,05/01/26,-15.00
1,04/01/26,111260400989,7103878,Order No.S11260400228,21-VIVE6500,05/01/26,152.00
1,04/01/26,111260400990,7103878,Order No.S11260400229,21-VIVE6500,05/01/26,178.00
1,04/01/26,111260400996,7103917,Order No.S11260400809,21-VIVE6500,05/01/26,156.00
1,04/01/26,111260400997,7103917,Order No.S11260400810,21-VIVE6500,05/01/26,232.00
1,04/01/26,111260400998,7103917,Order No.S11260400898,21-VIVE6500,05/01/26,22.00
1,04/02/26,111260402141,7103863,Order No.S11260401092,21-VIVE6500,05/02/26,40.00
1,04/02/26,111260402142,7103863,Order No.S11260401093,21-VIVE6500,05/02/26,61.00
1,04/03/26,111260403036,7103918,Order No.S11260402525,21-VIVE6500,05/03/26,3.00
1,04/07/26,111260405603,7103909,Order No.S11260404547,21-VIVE6500,05/07/26,55.00
1,04/08/26,111260406681,3871,Order No.S11260405793,21-VIVE6500,05/08/26,135.00
1,04/09/26,111260407915,3871,Order No.S11260407353,21-VIVE6500,05/09/26,135.00
1,04/13/26,M1126042094,7103878,Return Order SR2604091059,21-VIVE6500,05/13/26,-59.00
1,04/13/26,M1126042174,3871,Return Order SR2604091396,21-VIVE6500,05/13/26,-135.00
1,04/13/26,M1126042214,7103878,Return Order SR2604130724,21-VIVE6500,05/13/26,-59.00
1,04/13/26,111260410325,3860,Order No.S11260409984,21-VIVE6500,05/13/26,179.00
1,04/15/26,111260412922,7103889,Order No.S11260412140,21-VIVE6500,05/15/26,4.00
1,04/15/26,111260412923,7103889,Order No.S11260412141,21-VIVE6500,05/15/26,56.00
1,04/17/26,111260414938,7103958,Order No.S11260414358,21-VIVE6500,05/17/26,248.00
1,04/17/26,111260414939,7103958,Order No.S11260414359,21-VIVE6500,05/17/26,53.00
1,04/17/26,111260414940,7103958,Order No.S11260414360,21-VIVE6500,05/17/26,377.00
1,04/19/26,111260415157,7103958,Order No.S11260414357,21-VIVE6500,05/19/26,97.00
1,04/23/26,111260419357,7103988,Order No.S11260419101,21-VIVE6500,05/23/26,75.00
1,04/23/26,111260419378,7103966,Order No.S11260419995,21-VIVE6500,05/23/26,142.00
1,04/24/26,M1126044295,7103958,Return Order SR2604211182,21-VIVE6500,05/24/26,-104.00
1,04/24/26,M1126044409,7103958,Return Order SR2604240547,21-VIVE6500,05/24/26,-100.00
1,04/27/26,111260422054,7103965,Order No.S11260421620,21-VIVE6500,05/27/26,30.00
1,04/27/26,111260422058,7103901,Order No.S11260422000,21-VIVE6500,05/27/26,578.00
1,04/27/26,111260422059,7103982,Order No.S11260422077,21-VIVE6500,05/27/26,109.00
1,04/30/26,111260425544,7103962,Order No.S11260425462,21-VIVE6500,05/30/26,16.00
1,05/01/26,111260500760,7103978,Order No.S11260500057,21-VIVE6500,05/31/26,37.00
1,05/01/26,111260500761,7103978,Order No.S11260500058,21-VIVE6500,05/31/26,406.00
1,05/01/26,111260500765,7104007,Order No.S11260500255,21-VIVE6500,05/31/26,156.00
1,05/04/26,111260502349,7104012,Order No.S11260500994,21-VIVE6500,06/03/26,281.00
1,05/04/26,111260502350,7104010,Order No.S11260500999,21-VIVE6500,06/03/26,80.00
1,05/04/26,111260502354,7104015,Order No.S11260501300,21-VIVE6500,06/03/26,69.00
1,05/04/26,111260502362,4007,Order No.S11260501740,21-VIVE6500,06/03/26,107.00
1,05/05/26,111260503740,7104016,Order No.S11260502673,21-VIVE6500,06/04/26,181.00
1,05/07/26,M1126051097,7104007,Return Order SR2605051517,21-VIVE6500,06/06/26,-117.00
1,05/07/26,111260506297,4007,Order No.S11260506164,21-VIVE6500,06/06/26,96.30
1,05/12/26,M1126051835,4007,Return Order SR2605081497,21-VIVE6500,06/11/26,-96.30
2,05/12/26,111260510070,7104035,Order No.S11260509009,21-VIVE6500,06/11/26,75.00
2,05/13/26,111260511357,7104041,Order No.S11260510450,21-VIVE6500,06/12/26,65.00
2,05/13/26,111260511362,7103932,Order No.S11260511443,21-VIVE6500,06/12/26,276.00
2,05/15/26,111260513389,7104049,Order No.S11260513622,21-VIVE6500,06/14/26,97.00
2,05/15/26,111260513390,7104049,Order No.S11260513623,21-VIVE6500,06/14/26,24.00
2,05/15/26,111260513391,7104049,Order No.S11260513625,21-VIVE6500,06/14/26,9.00
2,05/17/26,111260513618,7104049,Order No.S11260513624,21-VIVE6500,06/16/26,39.00
2,05/18/26,111260515025,7104040,Order No.S11260515423,21-VIVE6500,06/17/26,507.00
2,05/19/26,M1126053010,7103932,Return Order SR2605141833,21-VIVE6500,06/18/26,-276.00
2,05/19/26,M1126053025,7103965,Return Order SR2605150628,21-VIVE6500,06/18/26,-30.00
2,05/19/26,111260516531,7104020,Order No.S11260515937,21-VIVE6500,06/18/26,225.00
2,05/20/26,111260517841,7104056,Order No.S11260517123,21-VIVE6500,06/19/26,134.00
2,05/20/26,111260517842,7104056,Order No.S11260517125,21-VIVE6500,06/19/26,66.00
2,05/20/26,111260517843,7104056,Order No.S11260517126,21-VIVE6500,06/19/26,36.00
2,05/20/26,111260517844,7104056,Order No.S11260517127,21-VIVE6500,06/19/26,622.00
2,05/21/26,111260519060,7104072,Order No.S11260519080,21-VIVE6500,06/20/26,96.00
2,05/21/26,111260519061,7104072,Order No.S11260519081,21-VIVE6500,06/20/26,712.00
2,05/22/26,111260519938,4072,Order No.S11260519930,21-VIVE6500,06/21/26,417.00
2,05/27/26,M1126054380,7104072,Return Order SR2605221502,21-VIVE6500,06/26/26,-417.00
2,05/27/26,M1126054422,7104072,Return Order SR2605270488,21-VIVE6500,06/26/26,-23.00
2,05/27/26,111260522987,7104048,Order No.S11260522270,21-VIVE6500,06/26/26,66.00
2,05/27/26,111260522988,7104048,Order No.S11260522271,21-VIVE6500,06/26/26,34.00
2,05/27/26,111260522989,7104048,Order No.S11260522272,21-VIVE6500,06/26/26,17.00
2,05/28/26,111260524215,7104063,Order No.S11260523509,21-VIVE6500,06/27/26,94.00
2,05/28/26,111260524216,7104063,Order No.S11260523510,21-VIVE6500,06/27/26,417.00
2,05/29/26,M1126054883,7104072,Return Order SR2605261817,21-VIVE6500,06/28/26,-96.00
2,05/29/26,111260525234,7104057,Order No.S11260525342,21-VIVE6500,06/28/26,121.00
2,05/31/26,111260525501,7104039,Order No.S11260524774,21-VIVE6500,06/30/26,606.00
